topic_id,domain,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,blogs,service,team,law,customer,police,client,officer,send,staff,record
1,blogs,one,word,something,mean,used,meaning,person,would,phrase,also
2,blogs,unpleasant,anxiety,bachelor,commission,anxious,trash,eager,equality,ho,bin
3,blogs,hill,perception,soup,container,wooden,yiddish,illusion,pit,stimulus,mount
4,blogs,agent,spy,intensive,cancelled,thrive,canceled,belligerent,undercover,constable,espionage
5,blogs,year,time,name,one,two,child,first,three,john,hour
6,blogs,game,football,pull,baseball,jump,pitch,rope,cricket,mankind,batter
7,blogs,ground,fun,floor,fee,macbeth,slippery,fo,darling,building,bronze
8,blogs,book,page,text,section,paragraph,chapter,introduction,visual,valley,dumb
9,blogs,day,next,week,every,last,date,meeting,morning,today,meet
10,blogs,degree,unit,master,scale,cool,range,temperature,measurement,warm,measured
11,blogs,meter,da,sober,easter,iambic,decipher,cabbage,cipher,verisimilitude,pentameter
12,blogs,god,hard,memory,drive,christian,ring,kill,bridge,sat,substance
13,blogs,style,space,mark,compound,hyphen,line,dash,guide,character,punctuation
14,blogs,ish,inspiration,tending,reversal,gaze,qualitative,mist,canal,muse,dam
15,blogs,car,cut,road,horse,stop,train,travel,move,street,direction
16,blogs,light,power,paper,turn,cup,noise,switch,smoke,heat,turned
17,blogs,search,market,corpus,evening,engine,global,motor,noon,commodity,bnc
18,blogs,position,member,sit,sitting,seat,chair,committee,chocolate,chairman,consent
19,blogs,night,happy,video,watch,tv,exchange,season,dish,map,holiday
20,blogs,country,people,american,america,world,culture,north,south,indian,uk
21,blogs,lying,gang,enormous,rumor,immune,monologue,rumored,eraser,soliloquy,modus
22,blogs,skill,throw,taught,hang,talent,hanging,throwing,sarah,filter,acquire
23,blogs,open,shut,newman,moriarty,kramer,carlos,oasis,muckle,volta,leet
24,blogs,thee,layer,thick,stigma,clone,kindergarten,submissive,blemish,thuh,stoked
25,blogs,motion,counter,guitar,pudding,gallery,creep,acoustic,damaging,vinegar,clockwise
26,blogs,house,home,building,property,ex,path,pay,land,flat,owner
27,blogs,would,say,sentence,like,one,use,word,question,something,mean
28,blogs,window,cloud,salad,dressing,hr,tailor,seize,socrates,sticky,ode
29,blogs,government,political,crime,specie,murder,guilty,committed,dedicated,commit,commitment
30,blogs,radio,network,anymore,camera,transfer,wire,bomb,transformation,performer,transform
31,blogs,joking,kidding,groom,align,cub,hanger,suitor,bridegroom,archipelago,miraculously
32,blogs,sake,sheep,dragon,tolkien,goodness,wordnet,elf,princeton,hoof,gracious
33,blogs,human,animal,eat,fish,bird,plant,eating,meat,brain,chicken
34,blogs,pen,latest,ensure,insurance,protect,bitter,ink,perfection,swallow,assure
35,blogs,device,phone,literary,rhetorical,mobile,electronic,telephone,mechanical,zone,genius
36,blogs,bully,inserting,provoking,provocateur,bullying,fondness,libel,discredit,goon,fertility
37,blogs,toe,enterprise,milton,fantastic,undertaking,endeavour,ballet,bead,bookshelf,distal
38,blogs,prepared,package,ancestor,needle,patch,piss,genetic,install,breakdown,resignation
39,blogs,president,wall,headline,superlative,bush,roof,johnson,nickname,concert,awesome
40,blogs,price,psychological,consumer,retail,reign,pricing,growler,predatory,jug,shrimp
41,blogs,tree,storm,damaged,generalization,collaboration,cocaine,blueberry,cb,wonky,consumes
42,blogs,private,height,trail,profile,marine,sergeant,congratulation,elevation,altitude,nz
43,blogs,lock,wake,cattle,awake,anonymous,woke,iraq,awoke,whining,awaken
44,blogs,letter,message,sign,email,received,sent,via,mail,reply,experiment
45,blogs,new,city,york,area,london,track,television,actor,victim,election
46,blogs,society,injury,loan,id,wound,dig,poverty,chaos,stall,wounded
47,blogs,verb,noun,sentence,clause,phrase,example,adjective,subject,form,object
48,blogs,fast,antonym,fixed,thread,firm,shopping,enclosed,firmly,mall,grip
49,blogs,abbreviation,sun,dark,acronym,cast,shade,shadow,furniture,darkness,cabinet
50,blogs,bit,improper,contractor,egyptian,propriety,affinity,emoji,fleeting,kludge,proprietor
51,blogs,tip,blow,tap,province,tit,stoic,municipality,saloon,tat,tittle
52,blogs,cm,thrill,lark,binge,spree,jag,orgy,poppins,overindulgence,splurge
53,blogs,bottle,bee,snake,herd,abstraction,swap,kitten,lid,adolescent,ip
54,blogs,free,arabic,historic,cargo,arab,velocity,clan,peninsula,shipment,unwillingness
55,blogs,lit,goat,inhabitant,gaming,polar,sci,ministry,swept,terrified,buff
56,blogs,touch,band,breath,shell,urge,whale,stupidity,pod,suppress,fussy
57,blogs,forth,hero,e,echo,brevity,studio,motto,solo,terse,karen
58,blogs,square,annoyed,ginger,insertion,orbit,annoy,blonde,nasa,satellite,optimistic
59,blogs,per,mile,weekend,fuel,metric,leap,efficiency,imperial,playful,km
60,blogs,good,bad,dog,cat,music,taste,bone,poor,smell,musical
61,blogs,fall,falling,snow,inspection,appetite,creek,crust,flake,pellet,cur
62,blogs,water,air,fire,run,cold,foot,fear,surface,body,sea
63,blogs,hamburger,docile,ecosystem,bing,crossroad,rafter,uchicago,cinematography,golly,kia
64,blogs,le,count,countable,uncountable,quantity,brand,fewer,xyz,none,survey
65,blogs,silence,sydney,sh,plea,guided,missile,mug,climbed,dorothy,plead
