topic_id,domain,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,blogs,law,police,client,officer,waiting,staff,default,thesis,chief,server
1,blogs,one,word,used,something,meaning,mean,person,phrase,also,sense
2,blogs,anxiety,bachelor,commission,anxious,eager,dict,equality,ho,bin,rumor
3,blogs,perception,soup,footnote,container,yiddish,wooden,illusion,pit,stimulus,mount
4,blogs,agent,aggressive,spy,intensive,threatening,attendance,cancelled,thrive,canceled,constable
5,blogs,year,name,time,child,first,john,one,mr,family,home
6,blogs,game,football,baseball,jump,pitch,rope,resolution,cricket,resolved,mankind
7,blogs,house,building,ground,fun,floor,street,wet,fee,slippery,flat
8,blogs,book,page,text,section,paragraph,chapter,acronym,introduction,visual,lock
9,blogs,day,next,date,every,week,last,meeting,morning,today,meet
10,blogs,degree,master,scale,cool,temperature,warm,range,measurement,measured,cable
11,blogs,due,task,drunk,da,deadline,sober,decipher,cabbage,cipher,mishearing
12,blogs,god,king,cat,drive,lord,bible,christian,ring,hard,shall
13,blogs,style,space,hyphen,line,character,compound,hot,dash,guide,suffix
14,blogs,ordered,inspiration,tending,reversal,qualitative,mist,mama,dam,papa,muse
15,blogs,car,road,cut,horse,stop,move,train,direction,get,travel
16,blogs,room,light,paper,power,shape,coffee,cup,noise,pen,circle
17,blogs,late,dinner,evening,meal,lunch,pm,afternoon,motor,hurry,noon
18,blogs,position,member,sitting,seat,chair,committee,chocolate,chairman,consent,dessert
19,blogs,night,happy,movie,video,watch,tv,film,drug,season,weather
20,blogs,people,country,american,america,culture,north,south,uk,indian,chinese
21,blogs,lying,gang,enormous,immune,monologue,soliloquy,caffeine,coalition,modus,peacefully
22,blogs,skill,taught,hang,talent,hanging,sarah,acquire,filter,leadership,glory
23,blogs,hype,newman,kramer,carlos,moriarty,oasis,hyped,muckle,autopsy,lithium
24,blogs,thee,layer,thick,mm,clone,stigma,kindergarten,submissive,blemish,thuh
25,blogs,counter,guitar,creep,gallery,pudding,acoustic,crawl,clockwise,sponge,quartz
26,blogs,property,de,ex,pay,land,ed,al,owner,un,et
27,blogs,would,say,sentence,like,word,one,use,something,question,mean
28,blogs,window,cloud,salad,dressing,seize,tailor,deployed,neighboring,recruiter,linger
29,blogs,government,crime,specie,guilty,committed,dedicated,commit,commitment,earned,breed
30,blogs,connection,connected,radio,hole,network,anymore,camera,transfer,wire,bomb
31,blogs,joking,kidding,cub,suitor,bridegroom,archipelago,miraculously,daemon,unscathed,guma
32,blogs,tolkien,goodness,wordnet,elf,princeton,gracious,graphical,tile,fleece,dungeon
33,blogs,human,animal,eat,fish,bird,eating,meat,sick,chicken,fat
34,blogs,latest,ensure,insurance,bitter,perfection,swallow,assurance,assure,dairy,distorted
35,blogs,device,phone,limited,limit,equipment,mobile,limitation,mechanical,telephone,electronic
36,blogs,bully,inserting,provoking,bullying,typesetting,fondness,provocateur,discredit,libel,fertility
37,blogs,toe,enterprise,milton,fantastic,endeavour,ballet,firefly,sloth,semigroup,tormented
38,blogs,rough,package,ancestor,needle,patch,genetic,breakdown,fort,expenditure,packet
39,blogs,president,wall,initial,headline,johnson,bush,nickname,concert,awesome,agenda
40,blogs,price,psychological,retail,lobster,growler,inquire,pricing,predatory,shrimp,jug
41,blogs,tree,storm,damaged,generalization,loser,sore,collaboration,optimization,cocaine,blueberry
42,blogs,private,height,marine,sergeant,congratulation,elevation,altitude,lego,bb,doughnut
43,blogs,cow,wake,cattle,awake,anonymous,woke,bovine,awoke,latch,whining
44,blogs,letter,message,email,received,reply,sent,via,mail,experiment,secure
45,blogs,new,city,york,area,london,track,actor,television,election,click
46,blogs,injury,wound,poverty,dig,buddy,hypernym,stall,widow,wounded,hyponym
47,blogs,verb,noun,sentence,clause,adjective,phrase,subject,example,form,object
48,blogs,fast,bag,thread,firm,shopping,enclosed,firmly,grip,mall,liver
49,blogs,dark,repeat,cast,shade,shadow,darkness,memorable,solar,directory,eclipse
50,blogs,bit,improper,affinity,fleeting,wolfe,healthier,photon,phile,champ,pedophile
51,blogs,throw,tip,blow,waste,useless,tap,trash,garbage,tit,saloon
52,blogs,cm,spree,orgy,splurge,word,english,used,mean,would,like
53,blogs,bottle,bee,scared,herd,abstraction,kitten,lid,ip,adolescent,arse
54,blogs,arabic,velocity,arab,purist,peninsula,unwillingness,arabia,saudi,feudal,sprout
55,blogs,lit,seed,grain,goat,buffalo,corn,wheat,inhabitant,berry,sci
56,blogs,touch,band,breath,shell,syndrome,urge,whale,stupidity,rebellion,mini
57,blogs,forth,hero,echo,studio,motto,solo,terse,karen,swinging,mango
58,blogs,gay,annoyed,homosexual,ginger,mature,orbit,annoy,nasa,satellite,photographer
59,blogs,weekend,shut,fuel,metric,efficiency,leap,playful,imperial,km,morrow
60,blogs,good,bad,dog,song,music,taste,smell,bone,flower,poor
61,blogs,falling,snow,appetite,shaved,crust,pellet,cur,blizzard,fluff,eminence
62,blogs,water,fire,cold,air,fear,surface,sea,body,river,rock
63,blogs,docile,ecosystem,bing,craze,crossroad,lennon,newscaster,rafter,teachable,cinematography
64,blogs,le,count,countable,uncountable,brand,fewer,xyz,survey,abc,organic
65,blogs,sydney,missile,mug,climbed,spoonerism,unequivocally,amuse,gritty,pu,nitty
66,blogs,la,pertinent,coughing,mattress,echelon,pokémon,barrett,shutdown,deepen,crème
67,blogs,roman,cheese,sticking,defeated,swiss,fuzzy,submarine,cracker,cod,tuna
68,blogs,fortune,prediction,inquiry,hen,egypt,prophet,prophecy,hawaiian,grudge,composure
69,blogs,ship,formula,crew,automobile,ay,referendum,aye,compilation,antenna,tarmac
70,blogs,dictionary,com,http,definition,webster,www,merriam,amp,org,en
